IIIIIIIIIIIZZZIIIIYYX	(0.00540032+0j)
IIIIIIIIIIIZZZIIIIXYY	(-0.00540032+0j)
IIIIIIIIIIZIIIIIIIYYX	(0.04499323+0j)
IIIIIIIIIIZIIIIIIIXYY	(-0.04499323+0j)
IIIIIIIIYYXIIIIIIIYYX	(0.00770014+0j)
IIIIIIIIXYYIIIIIIIYYX	(-0.00770014+0j)
IIIIIIIIYYXIIIIIIIXYY	(-0.00770014+0j)
IIIIIIIIXYYIIIIIIIXYY	(0.00770014+0j)
YYZIZIIIIXXIIIIIIIYYX	(0.00253526+0j)
YXZIZIIIIXYIIIIIIIYYX	(-0.00253526+0j)
YYZIZIIIIXXIIIIIIIXYY	(-0.00253526+0j)
YXZIZIIIIXYIIIIIIIXYY	(0.00253526+0j)
IIIIIIIIIZZIIIIIIIYYX	(0.04500789+0j)
IIIIIIIIIZZIIIIIIIXYY	(-0.04500789+0j)
ZIIIIIIIIXZIIIIIIIYYX	(-0.00430399+0j)
IIIIIIIIZXIIIIIIIIYYX	(-0.00430399+0j)
ZIIIIIIIIXZIIIIIIIXYY	(0.00430399+0j)
IIIIIIIIZXIIIIIIIIXYY	(0.00430399+0j)
YIYIZIIIIXZIIIIIIIYYX	(-0.00668214+0j)
YIXZZIIIIYIIIIIIIIYYX	(0.00668214+0j)
YIYIZIIIIXZIIIIIIIXYY	(0.00668214+0j)
YIXZZIIIIYIIIIIIIIXYY	(-0.00668214+0j)
XIIIIIIIIXZIIIIIIIYYX	(0.00474407+0j)
YZZIZIIIIYIIIIIIIIYYX	(0.00474407+0j)
XIIIIIIIIXZIIIIIIIXYY	(-0.00474407+0j)
YZZIZIIIIYIIIIIIIIXYY	(-0.00474407+0j)
YYZIZIIIXZIIIIIIIIYYX	(-0.00129513+0j)
YXZIZIIIYZIIIIIIIIYYX	(0.00129513+0j)
YYZIZIIIXZIIIIIIIIXYY	(0.00129513+0j)
YXZIZIIIYZIIIIIIIIXYY	(-0.00129513+0j)
ZIIIIIIIZZIIIIIIIIYYX	(-0.00195102+0j)
ZIIIIIIIZZIIIIIIIIXYY	(0.00195102+0j)
YIYIZIIIZZIIIIIIIIYYX	(-0.00133989+0j)
XIXZZIIIIIIIIIIIIIYYX	(0.00133989+0j)
YIYIZIIIZZIIIIIIIIXYY	(0.00133989+0j)
XIXZZIIIIIIIIIIIIIXYY	(-0.00133989+0j)
IIIIZZZIIIIIIIIIIIYYX	(0.00171351+0j)
IIIIZZZIIIIIIIIIIIXYY	(-0.00171351+0j)
IIIZIIIIIIIIIIIIIIYYX	(0.00171351+0j)
IIIZIIIIIIIIIIIIIIXYY	(-0.00171351+0j)
IIZZIIIIIIIIIIIIIIYYX	(0.00205606+0j)
IIZZIIIIIIIIIIIIIIXYY	(-0.00205606+0j)
IZIIIIIIIIIIIIIIIIYYX	(0.00194633+0j)
IZIIIIIIIIIIIIIIIIXYY	(-0.00194633+0j)
ZZZIZIIIIIIIIIIIIIYYX	(0.00279409+0j)
ZZZIZIIIIIIIIIIIIIXYY	(-0.00279409+0j)
IIIZZIIZIIIXYZZIIZZYX	(0.00134132+0j)
IIIZZIIZIIIXXZZIIZZYY	(-0.00134132+0j)
